"datetime","HydroenergyGeneration","HydroPercentage","Pumped storageenergyGeneration","Pumped storagePercentage","NuclearenergyGeneration","NuclearPercentage","CoalenergyGeneration","CoalPercentage","Fuel  GasenergyGeneration","Fuel  GasPercentage","Diesel enginesenergyGeneration","Diesel enginesPercentage","Gas turbineenergyGeneration","Gas turbinePercentage","Steam turbineenergyGeneration","Steam turbinePercentage","Combined cycleenergyGeneration","Combined cyclePercentage","WindenergyGeneration","WindPercentage","Solar photovoltaicenergyGeneration","Solar photovoltaicPercentage","Thermal solarenergyGeneration","Thermal solarPercentage","Other renewablesenergyGeneration","Other renewablesPercentage","CogenerationenergyGeneration","CogenerationPercentage","Nonrenewable wasteenergyGeneration","Nonrenewable wastePercentage","Renewable wasteenergyGeneration","Renewable wastePercentage","Total generationenergyGeneration","Total generationPercentage"
2012-02-11T00:00:00.000+01:00,41250.675,0.0464227642689063,6028.773,0.00678467219772154,179827.048,0.202374110447339,195917.13,0.220481597991564,12.873,1.44870415922559e-05,10466.85,0.0117792038600096,2526.947,0.00284378049331362,7540.187,0.00848559020293539,93582.612,0.105316180560549,221089.859,0.248810532351355,25333.118,0.0285094332422533,7842.889,0.00882624556408345,11145.853,0.0125433415670139,80347.968,0.0904221513453931,4015.273,0.00451871568051442,1659.164,0.00186719318545589,888587.219,1
2012-02-12T00:00:00.000+01:00,30559.822,0.0356172234282803,15469.14,0.0180291565711131,179773.066,0.209524042977377,155476.731,0.181206862589894,-10.471,1.22038651441596e-05,10181.09,0.0118659774024021,2276.238,0.00265293683392337,7021.654,0.00818368049899237,64704.651,0.075412743291368,262897.529,0.306404927003037,25490.97,0.0297095177417457,6884.236,0.00802352094017467,10609.898,0.0123657496309129,81073.337,0.0944903133927045,3973.224,0.00463076018370151,1604.802,0.00187038364922908,857985.917,1
2012-02-13T00:00:00.000+01:00,44914.478,0.0458316123319522,13632.731,0.0139111055062866,179724.539,0.183394436822506,188470.016,0.192318492703151,34.915,3.56279492899842e-05,9972.256,0.0101758851804308,3383.454,0.00345254267612757,8132.244,0.00829830092641495,172025.562,0.175538250021968,213965.629,0.218334715160005,23965.51,0.0244548754113879,7871.911,0.00803265203847253,10482.222,0.0106962644669155,97301.578,0.0992884343926518,4240.3435,0.00432692949133937,1871.6565,0.0019098749211018,979989.045,1
2012-02-14T00:00:00.000+01:00,47062.147,0.0471939653140099,16418.184,0.0164641703706172,179523.539,0.18002637390543,195478.835,0.196026359753903,42.052,4.21697851860593e-05,9949.839,0.00997770791557774,2656.3,0.00266374014053385,7712.937,0.00773454048424828,158829.176,0.15927404720819,244501.258,0.245186091686038,16567.034,0.0166134372907386,4360.398,0.00437261121910308,10448.21,0.0104774748235241,97484.833,0.097757882300696,4288.3695,0.00430038097149835,1883.7705,0.00188904683070569,997206.882,1
2012-02-15T00:00:00.000+01:00,47216.089,0.0486299183856667,8869.981,0.00913558198588652,179581.987,0.184959355090716,198101,0.204032897814111,31.013,3.19416472400898e-05,10141.981,0.0104456705064874,2840.062,0.00292510426414677,8124.436,0.00836771253141218,170985.937,0.176105906641415,199319.59,0.20528797703606,23896.369,0.0246119172255834,6974.921,0.00718377667782846,10584.189,0.0109011198968316,97986.701,0.100920795716704,4344.3925,0.00447448014405223,1928.1095,0.00198584443585806,970926.758,1
2012-02-16T00:00:00.000+01:00,40547.926,0.0418505416008529,5916.57,0.00610664177791383,179506.425,0.185273128570938,210243.058,0.216997186122899,16.637,1.71714691551274e-05,9898.237,0.0102162211537922,2520.678,0.00260165561862165,7812.299,0.00806327170217786,147814.065,0.152562640971419,222460.805,0.229607432306445,20483.796,0.0211418447552998,6416.147,0.00662226785509789,11077.925,0.0114338070229197,97993.646,0.101141724450771,4259.9665,0.00439681933982246,1906.4015,0.00196764528187406,968874.582,1
2012-02-17T00:00:00.000+01:00,51473.409,0.0556545567524478,8411.619,0.00909488872235892,179688.184,0.19428412511346,213690.937,0.231048897125703,14.566,1.57491856359495e-05,9943.099,0.0107507697341497,2062.669,0.00223021810974312,6591.034,0.00712641892069579,177608.394,0.19203539527728,131526.204,0.142209982341601,21695.515,0.0234578259784791,5671.352,0.0061320318175761,11292.882,0.0122101946301574,99221.688,0.107281393891546,4100.8185,0.00443392501825045,1880.8475,0.00203362738091525,924873.218,1
2012-02-18T00:00:00.000+01:00,48181.111,0.0607585533239309,4855.05,0.00612243695076584,179712.876,0.226626039392138,216714.99,0.273287373469037,-15.072,1.90064715547611e-05,10155.335,0.0128063353109454,2093.685,0.00264023118346138,5869.974,0.00740230187487972,138598.796,0.174779330792074,56440.262,0.0711737151171883,25190.25,0.0317660410086465,7130.396,0.00899175084581888,11266.254,0.0142072542582082,80716.391,0.101787008329649,4180.2075,0.00527143013148547,1872.4085,0.00236119154021648,792962.914,1
2012-02-19T00:00:00.000+01:00,31066.269,0.0403487055968473,11810.169,0.0153389849302474,179600.961,0.233264776671439,191286.488,0.248441877232405,-17.333,2.25120085746426e-05,9650.475,0.0125339858044986,1469.117,0.00190808137663147,5831.495,0.00757391481238018,72731.425,0.0944631894793733,136943.279,0.177861205278237,24444.514,0.0317484052830423,8439.677,0.0109614077765657,11121.161,0.014444104990018,79343.29,0.103050644713573,4238.057,0.00550436597956639,1950.915,0.00253383806660122,769909.959,1
2012-02-20T00:00:00.000+01:00,40461.404,0.0447355723263168,7884.65,0.00871755044245854,179769.825,0.198759934489095,206937.28,0.228797242341152,5.977,6.6083845185994e-06,9743.369,0.0107726165063746,2069.247,0.00228783333444173,6356.578,0.00702805950250452,148945.748,0.164679734849324,153795.031,0.170041275204603,25521.793,0.0282178052113265,8684.99,0.00960243491052209,10639.034,0.011762895696579,97164.026,0.107428014921062,4366.142,0.00482736242242038,2111.961,0.0023350594573006,904457.055,1
